q1_results.state,q1_results.severity,q1_results.accident_count,q1_results.avg_duration_minutes
AL,1,681,45.77
AR,1,37,41.76
AZ,1,7389,50.99
CA,1,10284,33.6
CO,1,970,38.88
CT,1,72,44.47
DC,1,143,40.65
DE,1,234,42.05
FL,1,7083,46.91
GA,1,1007,46.12
IA,1,58,43.07
ID,1,1,44.08
IL,1,1620,41.4
IN,1,327,40.6
KS,1,34,40.25
KY,1,291,41.58
LA,1,2534,37.14
MA,1,1500,47.89
MD,1,517,37.76
ME,1,4,42.08
MI,1,1048,44.51
MN,1,489,45.08
MO,1,270,39.45
MS,1,29,40.49
NC,1,5139,169.82
ND,1,1,29.73
NE,1,93,40.8
NH,1,82,48.98
NJ,1,199,43.33
NM,1,153,47.72
NV,1,128,53.04
NY,1,1247,51.15
OH,1,1706,39.42
OK,1,1303,48.2
OR,1,1323,22.32
PA,1,1731,63.97
RI,1,189,38.89
SC,1,6175,48.54
TN,1,2335,50.76
TX,1,4233,46.32
UT,1,632,46.5
VA,1,3115,47.48
VT,1,3,39.92
WA,1,865,34.87
WI,1,90,40.22
WV,1,2,37.5
AL,2,76993,92.23
AR,2,19239,107.95
AZ,2,140553,137.51
CA,2,1445833,124.51
CO,2,56105,100.99
CT,2,50392,146.16
DC,2,16489,130.22
DE,2,11596,3024.67
FL,2,755895,154.1
GA,2,94206,111.25
IA,2,17226,363.05
ID,2,10604,317.26
IL,2,105273,137.64
IN,2,45415,106.95
KS,2,14837,147.83
KY,2,18255,251.73
LA,2,127647,15162.17
MA,2,41326,70.55
MD,2,103558,113.6
ME,2,2259,169.4
MI,2,113020,97.07
MN,2,160848,116.87
MO,2,48766,122.27
MS,2,10739,705.9
MT,2,27894,352.84
NC,2,293066,127.98
ND,2,3455,116.6
NE,2,24047,87.23
NH,2,7818,143.73
NJ,2,113315,142.9
NM,2,6750,115.26
NV,2,17127,3989.81
NY,2,265902,241.01
OH,2,79373,123.42
OK,2,75059,141.4
OR,2,162713,926.52
PA,2,247991,174.84
RI,2,8935,114.37
SC,2,330817,112.43
SD,2,221,697.03
TN,2,133054,112.79
TX,2,450952,103.87
UT,2,79801,117.18
VA,2,230660,133.76
VT,2,616,150.82
WA,2,73339,160.24
WI,2,21530,120.17
WV,2,12444,241.68
WY,2,3028,266.89
AL,3,21542,64.42
AR,3,677,51.97
AZ,3,17551,74.98
CA,3,271814,59.05
CO,3,26306,63.6
CT,3,16369,70.37
DC,3,1177,84.11
DE,3,715,99.26
FL,3,104065,69.1
GA,3,61245,67.06
IA,3,6954,797.68
ID,3,225,802.03
IL,3,57748,109.83
IN,3,15877,77.67
KS,3,5321,78.1
KY,3,12476,59.86
LA,3,17575,61.72
MA,3,18623,54.43
MD,3,25450,77.5
ME,3,316,82.4
MI,3,40488,60.31
MN,3,29884,64.15
MO,3,25405,77.91
MS,3,3570,61.87
MT,3,143,169.4
NC,3,29590,64.25
ND,3,14,39.32
NE,3,4151,52.79
NH,3,2059,65.38
NJ,3,21318,78.69
NM,3,2849,69.32
NV,3,3690,77.97
NY,3,70062,64.92
OH,3,30589,107.55
OK,3,6800,62.1
OR,3,9730,274.34
PA,3,31031,58.55
RI,3,7728,52.88
SC,3,42470,60.47
SD,3,8,277.4
TN,3,28510,62.75
TX,3,120443,77.14
UT,3,15000,75.67
VA,3,51324,65.01
VT,3,217,103.47
WA,3,29926,83.74
WI,3,9606,69.25
WV,3,524,135.4
WY,3,182,78.65
AL,4,1828,398.94
AR,4,2827,112.45
AZ,4,5116,1031.78
CA,4,13502,941.22
CO,4,7504,192.31
CT,4,4172,438.01
DC,4,821,1744.99
DE,4,1552,867.81
FL,4,13149,252.93
GA,4,12776,280.58
IA,4,2069,1784.52
ID,4,546,1429.78
IL,4,4317,611.54
IN,4,5605,2205.95
KS,4,800,1396.52
KY,4,1232,928.59
LA,4,1945,93379.1
MA,4,547,222.71
MD,4,10892,832.89
ME,4,119,293.74
MI,4,7635,1358.55
MN,4,863,3407.84
MO,4,2882,638.89
MS,4,843,819.04
MT,4,459,1183.94
NC,4,10404,973.76
ND,4,17,3543.15
NE,4,579,5540.63
NH,4,254,327.22
NJ,4,5887,2169.46
NM,4,573,213.6
NV,4,720,6918.56
NY,4,10749,539.68
OH,4,6447,910.55
OK,4,485,338.88
OR,4,5894,1788.06
PA,4,15867,694.46
RI,4,119,180.05
SC,4,3095,653.47
SD,4,60,738.27
TN,4,3489,555.12
TX,4,7209,719.31
UT,4,1646,249.49
VA,4,18202,319.21
VT,4,90,185.42
WA,4,4091,522.36
WI,4,3462,274.1
WV,4,823,689.2
WY,4,547,333.41
