q2_results.weather_condition,q2_results.accident_count,q2_results.avg_severity,q2_results.avg_duration_minutes
Blowing Dust,189,2.08,146.65
Blowing Dust / Windy,266,2.1,158.02
Blowing Sand,2,2.5,94.38
Blowing Snow,740,2.29,120.3
Blowing Snow / Windy,925,2.07,146.06
Blowing Snow Nearby,1,2.0,123.42
Clear,808743,2.37,136.77
Cloudy,817082,2.16,694.91
Cloudy / Windy,17035,2.17,1188.16
Drifting Snow,1,2.0,94.97
Drifting Snow / Windy,6,2.67,79.1
Drizzle,4726,2.3,135.48
Drizzle / Windy,23,2.17,124.67
Drizzle and Fog,393,2.19,125.63
Dust Whirls,1,2.0,360.0
Duststorm,3,2.33,95.54
Fair,2560802,2.13,574.69
Fair / Windy,35671,2.14,867.64
Fog,99238,2.15,563.44
Fog / Windy,743,2.1,152.59
Freezing Drizzle,30,2.17,137.0
Freezing Rain,197,2.23,151.15
Freezing Rain / Windy,18,2.11,129.35
Funnel Cloud,22,2.23,84.49
Hail,39,2.23,148.23
Haze,76223,2.21,170.0
Haze / Windy,1595,2.11,150.31
Heavy Blowing Snow,4,2.75,38.08
Heavy Drizzle,452,2.35,95.13
Heavy Freezing Drizzle,5,2.0,71.64
Heavy Freezing Rain,11,2.09,52.71
Heavy Freezing Rain / Windy,1,3.0,44.82
Heavy Ice Pellets,4,2.75,198.23
Heavy Rain,32309,2.26,517.81
Heavy Rain / Windy,1523,2.18,1864.36
Heavy Rain Shower,3,2.33,59.36
Heavy Rain Shower / Windy,1,2.0,195.23
Heavy Rain Showers,7,2.57,29.67
Heavy Sleet,33,2.21,148.69
Heavy Sleet / Windy,1,2.0,133.62
Heavy Sleet and Thunder,2,2.0,184.03
Heavy Smoke,1,2.0,29.68
Heavy Snow,5003,2.24,150.93
Heavy Snow / Windy,902,2.15,178.98
Heavy Snow with Thunder,8,2.63,68.95
Heavy T-Storm,9671,2.18,1306.67
Heavy T-Storm / Windy,1096,2.16,1541.89
Heavy Thunderstorms and Rain,2485,2.46,95.81
Heavy Thunderstorms and Snow,5,2.8,230.75
Heavy Thunderstorms with Small Hail,7,2.14,76.71
Ice Pellets,101,2.38,80.14
Light Blowing Snow,3,3.67,29.63
Light Drizzle,22684,2.27,248.4
Light Drizzle / Windy,239,2.29,155.81
Light Fog,4,3.0,133.3
Light Freezing Drizzle,1240,2.36,109.95
Light Freezing Fog,1001,2.39,125.02
Light Freezing Rain,3465,2.4,172.28
Light Freezing Rain / Windy,81,2.26,160.93
Light Hail,3,2.33,29.64
Light Haze,10,2.2,67.07
Light Ice Pellets,262,2.52,100.71
Light Rain,352957,2.25,388.83
Light Rain / Windy,7946,2.19,725.02
Light Rain Shower,259,2.29,89.09
Light Rain Shower / Windy,16,1.88,79.74
Light Rain Showers,157,2.37,123.64
Light Rain with Thunder,13597,2.2,850.18
Light Sleet,256,2.11,120.1
Light Sleet / Windy,15,2.13,87.62
Light Snow,128680,2.25,168.28
Light Snow / Windy,6826,2.13,177.79
Light Snow Grains,6,2.5,47.13
