q4_results.state,q4_results.city,q4_results.severity,q4_results.accident_count,q4_results.avg_duration_minutes
AL,Abbeville,1,1,48.92
SC,Abbeville,1,3,59.78
WA,Aberdeen,1,3,44.99
MD,Abingdon,1,3,55.58
MA,Abington,1,73,45.91
PA,Abington,1,3,44.46
NJ,Absecon,1,1,15.0
CA,Acampo,1,15,28.61
MD,Accokeek,1,1,59.6
CA,Acton,1,11,54.55
MA,Acton,1,8,47.01
GA,Acworth,1,3,44.86
MI,Ada,1,5,46.0
AL,Adamsville,1,1,64.97
LA,Addis,1,1,30.0
IL,Addison,1,50,52.51
TX,Addison,1,5,35.57
CA,Adelanto,1,1,29.85
NC,Advance,1,5,102.0
MN,Afton,1,1,29.65
MA,Agawam,1,3,46.57
CA,Agoura Hills,1,3,63.96
NC,Ahoskie,1,1,120.0
SC,Aiken,1,27,41.96
PA,Airville,1,2,75.63
MN,Aitkin,1,3,34.23
AZ,Ajo,1,1,44.68
NY,Akron,1,1,59.78
OH,Akron,1,55,32.18
AL,Alabaster,1,2,47.03
CA,Alamo,1,18,28.7
TN,Alamo,1,1,29.57
MI,Alanson,1,1,44.47
GA,Albany,1,1,72.93
NH,Albany,1,1,29.73
NY,Albany,1,28,58.39
OR,Albany,1,1,29.8
NM,Albuquerque,1,151,47.85
SC,Alcolu,1,1,50.85
CA,Alderpoint,1,1,44.92
VA,Aldie,1,5,55.89
AL,Alexandria,1,1,49.9
KY,Alexandria,1,3,34.77
VA,Alexandria,1,20,36.78
IL,Algonquin,1,1,29.58
CA,Alleghany,1,1,29.57
MI,Allen Park,1,2,28.66
MI,Allendale,1,8,44.44
SC,Allendale,1,3,54.8
NH,Allenstown,1,1,76.12
PA,Allentown,1,10,45.59
OH,Alliance,1,3,44.78
PA,Allison Park,1,1,91.62
MA,Allston,1,13,46.51
GA,Alpharetta,1,11,39.05
AL,Alpine,1,1,29.67
CA,Alpine,1,1,45.0
CA,Altadena,1,6,37.92
FL,Altamonte Springs,1,10,20.46
VA,Altavista,1,1,15.0
FL,Altha,1,1,28.68
MI,Alto,1,7,37.75
AL,Altoona,1,5,35.31
IA,Altoona,1,1,59.13
PA,Altoona,1,11,69.78
PA,Alum Bank,1,1,31.52
FL,Alva,1,10,56.9
TX,Amarillo,1,1,59.73
PA,Ambler,1,21,41.82
MN,Amboy,1,1,64.68
NY,Amenia,1,2,30.0
CA,American Canyon,1,24,27.55
UT,American Fork,1,8,47.17
MA,Amesbury,1,1,29.7
OR,Amity,1,2,24.98
NY,Amsterdam,1,3,60.0
WA,Anacortes,1,1,79.97
CA,Anaheim,1,25,40.64
NY,Ancram,1,2,60.0
CA,Anderson,1,1,45.43
IN,Anderson,1,8,31.67
SC,Anderson,1,280,49.32
GA,Andersonville,1,1,59.75
NY,Andes,1,1,29.88
MA,Andover,1,7,57.81
NH,Andover,1,1,76.35
OH,Andover,1,1,34.97
NC,Andrews,1,1,60.05
SC,Andrews,1,13,55.94
MD,Andrews Air Force Base,1,3,36.47
CA,Angwin,1,1,44.87
MI,Ann Arbor,1,4,33.48
VA,Annandale,1,5,54.14
MD,Annapolis,1,13,45.78
MD,Annapolis Junction,1,2,59.21
AL,Anniston,1,4,65.37
PA,Annville,1,1,240.08
MN,Anoka,1,12,38.29
CA,Antelope,1,10,27.31
CA,Antioch,1,44,23.85
IL,Antioch,1,8,47.38
TN,Antioch,1,169,50.25
AZ,Apache Junction,1,10,55.04
NC,Apex,1,49,74.94
TN,Apison,1,1,29.8
